SampleID,StationCode,SampleDate,SampleType,Replicate,ActualLatitude,ActualLongitude,Volume,Count,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,CollectionTime,CollectionMethodCode,CollectionDeviceName,CollectionDepth,UnitCollectionDepth,PositionWaterColumn,LabCollectionComments
Manta_LabBlank4,LABQA,1/3/1950,LabBlank,1,,,0,0,17-18_MP_Moore,WQ,17-18_MP_Moore,UoT-RL,,Not Applicable,Point,12:00:00 AM,Not Applicable,None,-88,m,Not Applicable,
Manta_LabBlank5,LABQA,1/3/1950,LabBlank,1,,,0,0,17-18_MP_Moore,WQ,17-18_MP_Moore,UoT-RL,,Not Applicable,Point,12:00:00 AM,Not Applicable,None,-88,m,Not Applicable,
Manta_LabBlank6,LABQA,1/3/1950,LabBlank,1,,,0,0,17-18_MP_Moore,WQ,17-18_MP_Moore,UoT-RL,,Not Applicable,Point,12:00:00 AM,Not Applicable,None,-88,m,Not Applicable,
Manta_LabBlank7,LABQA,1/3/1950,LabBlank,1,,,0,0,17-18_MP_Moore,WQ,17-18_MP_Moore,UoT-RL,,Not Applicable,Point,12:00:00 AM,Not Applicable,None,-88,m,Not Applicable,
MBNMS29-Manta-11Jan18,MBNMS29,1/11/2018,Grab,1,37.81276,-122.47229,151284.6796,207,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,11:17:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,Lots of current; Distance traveled ~.75 miles
MBNMS29-Manta-13Sept2017,MBNMS29,9/13/2017,Grab,1,37.805275,-122.50815,165181.9526,32,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,6:47:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Found two wrappers in sample, boat heading E"
MBNMS-29-Manta-17Nov17,MBNMS29,11/17/2017,Grab,1,37.79847,-122.50486,115913.9085,159,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,2:48:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,
MBNMS29-Manta-30Mar2018,MBNMS29,3/30/2018,Grab,1,37.793545,-122.502957,162126.5459,49,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,5:01:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,Tide lines went through. At Golden Gate
MBNMS29-Manta-BLANK-11Jan18,MBNMS29,1/11/2018,FieldBlank,1,37.81276,-122.47229,0,14,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,Not Applicable,Point,10:50:00 AM,Not Applicable,None,-88,m,Not Applicable,
MBNMS29-Manta-DUP-30Mar2018,MBNMS29,3/30/2018,Grab,2,37.793545,-122.502957,152296.9194,63,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,5:49:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,2-3kt current ebbing going against us!
MBNMS30-Manta-27Sept2017,MBNMS30,9/27/2017,Grab,1,37.67179667,-122.6110067,127819.4052,136,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,7:37:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,Boat heading ESE
MBNMS30-Manta-31Mar2018,MBNMS30,3/31/2018,Grab,1,37.672608,-122.610833,96595.70243,265,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,3:25:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,
MBNMS31-Manta-27Sept2017,MBNMS31,9/27/2017,Grab,1,37.50699833,-122.58037,116409.1274,5,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,9:31:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,Small styrofoam bit?; Boat heading NW
MBNMS31-Manta-31Mar2018,MBNMS31,3/31/2018,Grab,1,37.508312,-122.574538,100439.0989,7,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,1:34:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"swell / waves, 2-3 swells"
MBNMS32-Manta-27Sept2017,MBNMS32,9/27/2017,Grab,1,37.45035167,-122.9319883,116993.1118,51,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,12:28:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,Possible shark sighting; boat heading E
MBNMS32-Manta-31Mar2018,MBNMS32,3/31/2018,Grab,1,37.444578,-122.928027,132897.7341,10,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,10:58:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Choppy/swells but no white caps, 5-6 feet swells"
SB10-Manta-19Mar2018,SB10,3/19/2018,Grab,1,37.65335833,-122.2281133,55584.42005,434,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,12:49:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,
SB10-Manta-23Aug2017,SB10,8/23/2017,Grab,1,37.64998333,-122.2433167,146310.6893,52,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,3:58:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Very choppy, unlikely to find small plastics; Small amount of sample lost (~5%) during transfer, it's rocky out here! Boat speed/heading - 2.2 knots start, 302; 2.7 knots end, 269 (used average) Distance traveled - 2.3 miles."
SB11-Manta-19Mar2018,SB11,3/19/2018,Grab,1,37.586345,-122.2022117,135953.1408,877,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,11:41:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,Actual End lat and long not recorded in the field. The coordinates used as actual end lat and long were estimated by Jennifer Sun (SFEI) 5/1/18 and should just be used for visualization and not for quantitatively normalizing the results; Lots of jellies; 
SB11-Manta-23Aug2017,SB11,8/23/2017,Grab,1,37.59833333,-122.2502333,178437.6213,100,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,3:04:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Boat speed/Heading - start 3.5 knots, 312; end 1.5 knots, 232 (included average for both in chart); Distance traveled - 2.15 miles; Depth - 15 feet; choppy; switching Duplicate to CB8"
SB12-Manta-19Mar2018,SB12,3/19/2018,Grab,1,37.58292833,-122.270755,115820.471,58,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,2:06:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,
SB12-Manta-23Aug2017,SB12,8/23/2017,Grab,1,37.59391667,-122.2832,557440.4247,73,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,11:23:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Boat speed - 3.7 start, 4.2 end (average included); Distance traveled 2.43 miles; Current - 1.6 knots SE; Trawled with current; Depth - 22 ft; COG - 066; SOG - 3.8 knots; Drove through perpendicular foam lines"
SB12-Manta-DUP-19Mar2018,SB12,3/19/2018,Grab,2,37.58292833,-122.270755,94927.84279,1848,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,2:53:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,calm
SB13-Manta-19Mar2018,SB13,3/19/2018,Grab,1,37.56488167,-122.22265,84867.73707,396,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,10:33:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Lots of jellies, 2 silversides released"
SB13-Manta-23Aug2017,SB13,8/23/2017,Grab,1,37.57006667,-122.21285,106680.7248,360,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,1:23:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Boat speed - 3.4 start, 2.6 end (average noted); Distance traveled - 2.5 miles; Followed current south; Current - 0.9 knots heading SE; Depth - 30 ft; SOG - 3.4; COG - 111"
SB13-Manta-BLANK-23Aug2017,SB13,8/23/2017,FieldBlank,1,37.57006667,-122.21285,0,53,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,Not Applicable,Point,2:08:00 PM,Not Applicable,None,-88,m,Not Applicable,Washed 2.5L through net then processed; Some piece of white plastic or something in sieve/bag
SFBay9-18-Manta-18Sept2017,SFBay,9/18/2017,Grab,1,37.82031333,-122.3572633,95427.7335,42,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,11:09:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,SOG: 3kts; 1 knot current against boat
SPB2-Manta-16Nov2017,SPB2,11/16/2017,Grab,1,38.05978,-122.42436,125002.2641,323,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,8:51:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,Ft. - 12.5ft. Note: washed sample from both ends of tube
SPB2-Manta-21Aug2017,SPB2,8/21/2017,Grab,1,38.05128333,-122.42175,108929.4543,94,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,5:12:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"COG - 178, SOG - 2.9, Depth - 15 ft"
SPB3-Manta-17Nov17,SPB3,11/17/2017,Grab,1,38.02391,-122.36821,149338.0647,212,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,8:34:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,Few pieces of micro stuff
SPB3-Manta-21Aug2017,SPB3,8/21/2017,Grab,1,38.02307183,-122.3715833,185691.487,767,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,10:53:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,Distance traveled: 2.7 nautical miles; conducted blank manta as well
SPB3-Manta-BLANK-17Nov17,SPB3,11/17/2017,FieldBlank,,38.02391,-122.36821,0,0,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,Not Applicable,Point,8:05:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,
SPB3-Manta-Blank-21Aug2017,SPB3,8/21/2017,FieldBlank,1,38.02307183,-122.3715833,0,69,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,Not Applicable,Point,10:15:00 AM,Not Applicable,None,-88,m,Not Applicable,
SUB1-Manta-17Nov17,SUB1,11/17/2017,Grab,1,38.1079,-122.057,127543.7645,18,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,10:42:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,Bugs! Very little in sample
SUB1-Manta-21Aug2017,SUB1,8/21/2017,Grab,1,38.10706667,-122.0562833,142901.7773,12,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,1:55:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,
